"year","teamName","LeagueAbbr"
2014,"Abilene Christian","Sthland"
2015,"Abilene Christian","Sthland"
2016,"Abilene Christian","Sthland"
2017,"Abilene Christian","Sthland"
2018,"Abilene Christian","Sthland"
2019,"Abilene Christian","Sthland"
2020,"Abilene Christian","Sthland"
2010,"Air Force","MWC"
2011,"Air Force","MWC"
2012,"Air Force","MWC"
2013,"Air Force","MWC"
2014,"Air Force","MWC"
2015,"Air Force","MWC"
2016,"Air Force","MWC"
2017,"Air Force","MWC"
2018,"Air Force","MWC"
2019,"Air Force","MWC"
2020,"Air Force","MWC"
2010,"Akron","MAC"
2011,"Akron","MAC"
2012,"Akron","MAC"
2013,"Akron","MAC"
2014,"Akron","MAC"
2015,"Akron","MAC"
2010,"Alabama","SEC"
2011,"Alabama","SEC"
2012,"Alabama","SEC"
2013,"Alabama","SEC"
2014,"Alabama","SEC"
2015,"Alabama","SEC"
2016,"Alabama","SEC"
2017,"Alabama","SEC"
2018,"Alabama","SEC"
2019,"Alabama","SEC"
2020,"Alabama","SEC"
2010,"Alabama-Birmingham","ConfUSA"
2011,"Alabama-Birmingham","ConfUSA"
2012,"Alabama-Birmingham","ConfUSA"
2013,"Alabama-Birmingham","ConfUSA"
2014,"Alabama-Birmingham","ConfUSA"
2015,"Alabama-Birmingham","ConfUSA"
2016,"Alabama-Birmingham","ConfUSA"
2017,"Alabama-Birmingham","ConfUSA"
2018,"Alabama-Birmingham","ConfUSA"
2019,"Alabama-Birmingham","ConfUSA"
2020,"Alabama-Birmingham","ConfUSA"
2010,"Alabama A&M","SWAC"
2011,"Alabama A&M","SWAC"
2012,"Alabama A&M","SWAC"
2013,"Alabama A&M","SWAC"
2014,"Alabama A&M","SWAC"
2015,"Alabama A&M","SWAC"
2016,"Alabama A&M","SWAC"
2017,"Alabama A&M","SWAC"
2018,"Alabama A&M","SWAC"
2019,"Alabama A&M","SWAC"
2020,"Alabama A&M","SWAC"
2010,"Alabama State","SWAC"
2011,"Alabama State","SWAC"
2012,"Alabama State","SWAC"
2013,"Alabama State","SWAC"
2014,"Alabama State","SWAC"
2015,"Alabama State","SWAC"
2016,"Alabama State","SWAC"
2017,"Alabama State","SWAC"
2018,"Alabama State","SWAC"
2019,"Alabama State","SWAC"
2020,"Alabama State","SWAC"
2010,"Alcorn State","SWAC"
2011,"Alcorn State","SWAC"
2012,"Alcorn State","SWAC"
2013,"Alcorn State","SWAC"
2014,"Alcorn State","SWAC"
2015,"Alcorn State","SWAC"
2016,"Alcorn State","SWAC"
2017,"Alcorn State","SWAC"
2018,"Alcorn State","SWAC"
2019,"Alcorn State","SWAC"
2020,"Alcorn State","SWAC"
2010,"Appalachian State","SoCon"
2011,"Appalachian State","SoCon"
2012,"Appalachian State","SoCon"
2013,"Appalachian State","SoCon"
2014,"Appalachian State","SoCon"
2015,"Appalachian State","SBC"
2016,"Appalachian State","SBC"
2017,"Appalachian State","SBC"
2018,"Appalachian State","SBC"
2019,"Appalachian State","SBC"
2020,"Appalachian State","SBC"
2010,"Arizona","Pac10"
2011,"Arizona","Pac10"
2012,"Arizona","Pac12"
2013,"Arizona","Pac12"
2014,"Arizona","Pac12"
2015,"Arizona","Pac12"
2016,"Arizona","Pac12"
2017,"Arizona","Pac12"
2018,"Arizona","Pac12"
2019,"Arizona","Pac12"
2020,"Arizona","Pac12"
2010,"Arizona State","Pac10"
2011,"Arizona State","Pac10"
2012,"Arizona State","Pac12"
2013,"Arizona State","Pac12"
2014,"Arizona State","Pac12"
2015,"Arizona State","Pac12"
2016,"Arizona State","Pac12"
2017,"Arizona State","Pac12"
2018,"Arizona State","Pac12"
2019,"Arizona State","Pac12"
2020,"Arizona State","Pac12"
2010,"Ark-Little Rock","SBC"
2011,"Ark-Little Rock","SBC"
2012,"Ark-Little Rock","SBC"
2013,"Ark-Little Rock","SBC"
2014,"Ark-Little Rock","SBC"
2015,"Ark-Little Rock","SBC"
2016,"Ark-Little Rock","SBC"
2017,"Ark-Little Rock","SBC"
2018,"Ark-Little Rock","SBC"
2019,"Ark-Little Rock","SBC"
2020,"Ark-Little Rock","SBC"
2010,"Arkansas","SEC"
2011,"Arkansas","SEC"
2012,"Arkansas","SEC"
2013,"Arkansas","SEC"
2014,"Arkansas","SEC"
2015,"Arkansas","SEC"
2016,"Arkansas","SEC"
2017,"Arkansas","SEC"
2018,"Arkansas","SEC"
2019,"Arkansas","SEC"
2020,"Arkansas","SEC"
2010,"Arkansas-Pine Bluff","SWAC"
2011,"Arkansas-Pine Bluff","SWAC"
2012,"Arkansas-Pine Bluff","SWAC"
2013,"Arkansas-Pine Bluff","SWAC"
2014,"Arkansas-Pine Bluff","SWAC"
2015,"Arkansas-Pine Bluff","SWAC"
2016,"Arkansas-Pine Bluff","SWAC"
2017,"Arkansas-Pine Bluff","SWAC"
2018,"Arkansas-Pine Bluff","SWAC"
2019,"Arkansas-Pine Bluff","SWAC"
2020,"Arkansas-Pine Bluff","SWAC"
